#1	
double	Load(8760,2)
1621	584.49
1622	549.93
1623	532.66
1624	536.11
1625	570.67
1626	612.13
1627	650.14
1628	663.96
1629	677.78
1630	695.06
1631	712.34
1632	719.25
1633	736.53
1634	739.98
1635	760.71
1636	739.98
1637	743.44
1638	743.44
1639	736.53
1640	719.25
1641	684.69
1642	646.69
1643	605.22
1644	581.03
1645	563.76
1646	560.30
1647	553.39
1648	549.93
1649	556.85
1650	584.49
1651	625.95
1652	670.87
1653	639.77
1654	646.69
1655	625.95
1656	615.59
1657	608.68
1658	615.59
1659	632.86
1660	646.69
1661	657.05
1662	636.32
1663	639.77
1664	625.95
1665	608.68
1666	581.03
1667	567.21
1668	536.11
1669	511.93
1670	470.46
1671	460.10
1672	470.46
1673	567.21
1674	581.03
1675	619.04
1676	632.86
1677	629.41
1678	632.86
1679	646.69
1680	650.14
1681	639.77
1682	629.41
1683	629.41
1684	619.04
1685	615.59
1686	636.32
1687	639.77
1688	657.05
1689	657.05
1690	646.69
1691	615.59
1692	643.23
1693	625.95
1694	608.68
1695	605.22
1696	653.60
1697	619.04
1698	619.04
1699	632.86
1700	667.42
1701	684.69
1702	670.87
1703	639.77
1704	622.50
1705	581.03
1706	553.39
1707	549.93
1708	570.67
1709	584.49
1710	594.85
1711	601.77
1712	584.49
1713	598.31
1714	615.59
1715	615.59
1716	591.40
1717	546.48
1718	539.57
1719	581.03
1720	594.85
1721	612.13
1722	643.23
1723	667.42
1724	670.87
1725	667.42
1726	681.24
1727	691.61
1728	695.06
1729	691.61
1730	691.61
1731	708.88
1732	712.34
1733	712.34
1734	743.44
1735	746.89
1736	767.62
1737	750.35
1738	698.52
1739	663.96
1740	608.68
1741	577.58
1742	560.30
1743	574.12
1744	591.40
1745	625.95
1746	650.14
1747	660.51
1748	670.87
1749	688.15
1750	684.69
1751	677.78
1752	667.42
1753	667.42
1754	681.24
1755	698.52
1756	701.97
1757	698.52
1758	708.88
1759	708.88
1760	705.43
1761	681.24
1762	653.60
1763	601.77
1764	577.58
1765	546.48
1766	567.21
1767	525.75
1768	553.39
1769	549.93
1770	577.58
1771	629.41
1772	691.61
1773	743.44
1774	777.99
1775	822.91
1776	840.19
1777	874.74
1778	854.01
1779	909.29
1780	919.66
1781	936.94
1782	930.03
1783	954.21
1784	933.48
1785	905.84
1786	809.09
1787	698.52
1788	577.58
1789	491.19
1790	501.56
1791	484.28
1792	484.28
1793	477.37
1794	525.75
1795	553.39
1796	594.85
1797	653.60
1798	681.24
1799	712.34
1800	729.61
1801	733.07
1802	774.53
1803	722.70
1804	701.97
1805	719.25
1806	622.50
1807	598.31
1808	574.12
1809	556.85
1810	553.39
1811	515.38
1812	518.84
1813	508.47
1814	508.47
1815	525.75
1816	581.03
1817	594.85
1818	598.31
1819	619.04
1820	629.41
1821	636.32
1822	639.77
1823	643.23
1824	646.69
1825	632.86
1826	688.15
1827	726.16
1828	743.44
1829	753.80
1830	746.89
1831	760.71
1832	750.35
1833	746.89
1834	743.44
1835	753.80
1836	757.26
1837	729.61
1838	698.52
1839	698.52
1840	719.25
1841	719.25
1842	736.53
1843	757.26
1844	774.53
1845	784.90
1846	805.63
1847	833.28
1848	840.19
1849	857.46
1850	857.46
1851	867.83
1852	888.56
1853	895.47
1854	923.12
1855	898.93
1856	871.29
1857	867.83
1858	822.91
1859	771.08
1860	753.80
1861	712.34
1862	695.06
1863	726.16
1864	781.45
1865	760.71
1866	798.72
1867	791.81
1868	843.64
1869	847.10
1870	854.01
1871	860.92
1872	860.92
1873	854.01
1874	857.46
1875	854.01
1876	854.01
1877	850.55
1878	854.01
1879	860.92
1880	847.10
1881	826.37
1882	802.18
1883	788.36
1884	750.35
1885	764.17
1886	760.71
1887	760.71
1888	722.70
1889	746.89
1890	795.27
1891	829.82
1892	867.83
1893	898.93
1894	892.02
1895	902.38
1896	905.84
1897	895.47
1898	902.38
1899	881.65
1900	881.65
1901	881.65
1902	874.74
1903	860.92
1904	857.46
1905	822.91
1906	795.27
1907	788.36
1908	739.98
1909	767.62
1910	757.26
1911	715.79
1912	719.25
1913	760.71
1914	771.08
1915	774.53
1916	774.53
1917	805.63
1918	819.45
1919	833.28
1920	826.37
1921	826.37
1922	836.73
1923	836.73
1924	826.37
1925	822.91
1926	805.63
1927	798.72
1928	798.72
1929	777.99
1930	767.62
1931	750.35
1932	764.17
1933	809.09
1934	746.89
1935	736.53
1936	750.35
1937	798.72
1938	784.90
1939	826.37
1940	822.91
1941	836.73
1942	843.64
1943	847.10
1944	854.01
1945	843.64
1946	843.64
1947	843.64
1948	847.10
1949	850.55
1950	867.83
1951	857.46
1952	850.55
1953	819.45
1954	781.45
1955	739.98
1956	681.24
1957	698.52
1958	698.52
1959	705.43
1960	698.52
1961	764.17
1962	771.08
1963	809.09
1964	836.73
1965	843.64
1966	864.37
1967	881.65
1968	905.84
1969	912.75
1970	926.57
1971	936.94
1972	940.39
1973	947.30
1974	964.58
1975	981.86
1976	988.77
1977	974.95
1978	954.21
1979	950.76
1980	947.30
1981	933.48
1982	933.48
1983	930.03
1984	930.03
1985	923.12
1986	919.66
1987	936.94
1988	957.67
1989	1009.50
1990	1019.87
1991	1064.79
1992	1088.97
1993	1088.97
1994	1102.80
1995	1113.16
1996	1116.62
1997	1116.62
1998	1123.53
1999	1126.98
2000	1040.60
2001	974.95
2002	909.29
2003	854.01
2004	819.45
2005	791.81
2006	802.18
2007	826.37
2008	850.55
2009	860.92
2010	888.56
2011	881.65
2012	895.47
2013	902.38
2014	909.29
2015	888.56
2016	854.01
2017	816.00
2018	784.90
2019	760.71
2020	767.62
2021	764.17
2022	781.45
2023	771.08
2024	739.98
2025	712.34
2026	684.69
2027	650.14
2028	587.94
2029	543.02
2030	487.74
2031	477.37
2032	470.46
2033	480.83
2034	494.65
2035	515.38
2036	529.20
2037	539.57
2038	543.02
2039	529.20
2040	529.20
2041	556.85
2042	560.30
2043	556.85
2044	556.85
2045	553.39
2046	553.39
2047	546.48
2048	532.66
2049	501.56
2050	484.28
2051	473.92
2052	439.36
2053	404.81
2054	387.53
2055	370.26
2056	384.08
2057	380.62
2058	377.17
2059	429.00
2060	463.55
2061	477.37
2062	480.83
2063	473.92
2064	480.83
2065	473.92
2066	473.92
2067	463.55
2068	470.46
2069	501.56
